site,treatment,species,obs_round,date,year,count,obs_round_1_recaptures,obs_round_2_recaptures,obs_round_1_and_2_double_recaptures,notes
kensington,0,Agapostemon texanus,2,6.8.2023,2,4,0,NA,NA,
kensington,0,Agapostemon texanus,3,6.12.2023,2,1,0,0,0,
moberly,0,Bombus mixtus,1,6.6.2023,2,1,NA,NA,NA,
moberly,0,Bombus mixtus,2,6.8.2023,2,8,0,NA,NA,
moberly,0,Bombus mixtus,3,6.12.2023,2,9,0,0,0,
moberly,0,Bombus flavifrons,1,6.6.2023,2,0,NA,NA,NA,
moberly,0,Bombus flavifrons,2,6.8.2023,2,0,0,NA,NA,
moberly,0,Bombus flavifrons,3,6.12.2023,2,1,0,0,0,
moberly,0,Agapostemon texanus,1,6.6.2023,2,4,NA,NA,NA,
moberly,0,Agapostemon texanus,2,6.8.2023,2,1,0,NA,NA,
moberly,0,Agapostemon texanus,3,6.12.2023,2,0,0,0,0,
oak meadows,1,Bombus mixtus,1,6.6.2023,2,4,NA,NA,NA,
oak meadows,1,Bombus mixtus,2,6.8.2023,2,6,0,NA,NA,
oak meadows,1,Bombus mixtus,3,6.12.1023,2,0,0,0,0,
oak meadows,1,Bombus flavifrons,1,6.6.2023,2,4,NA,NA,NA,
oak meadows,1,Bombus flavifrons,2,6.8.2023,2,4,2,NA,NA,
oak meadows,1,Bombus flavifrons,3,6.12.1023,2,1,0,0,0,
oak meadows,1,Agapostemon texanus,1,6.6.2023,2,3,NA,NA,NA,
oak meadows,1,Agapostemon texanus,2,6.8.2023,2,3,0,NA,NA,
oak meadows,1,Agapostemon texanus,3,6.12.1023,2,0,0,0,0,
bobolink,0,Bombus mixtus,1,6.5.2023,2,3,NA,NA,NA,
bobolink,0,Bombus mixtus,2,6.8.2023,2,0,0,NA,NA,Site looks mowed between first and second round
bobolink,0,Bombus mixtus,3,6.12.2023,2,2,0,0,0,
bobolink,0,Bombus flavifrons,1,6.5.2023,2,1,NA,NA,NA,
bobolink,0,Bombus flavifrons,2,6.8.2023,2,0,0,NA,NA,
bobolink,0,Bombus flavifrons,3,6.12.2023,2,0,0,0,0,
bobolink,0,Agapostemon texanus,1,6.5.2023,2,10,NA,NA,NA,
bobolink,0,Agapostemon texanus,2,6.8.2023,2,1,0,NA,NA,
bobolink,0,Agapostemon texanus,3,6.12.2023,2,5,0,0,0,
quilchena,0,Bombus mixtus,1,6.6.2023,2,3,NA,NA,NA,
quilchena,0,Bombus mixtus,2,6.7.2023,2,1,0,NA,NA,
quilchena,0,Bombus mixtus,3,6.11.2023,2,6,0,0,0,
quilchena,0,Bombus flavifrons,1,6.6.2023,2,2,NA,NA,NA,
quilchena,0,Bombus flavifrons,2,6.7.2023,2,0,0,NA,NA,
quilchena,0,Bombus flavifrons,3,6.11.2023,2,3,0,0,0,
quilchena,0,Agapostemon texanus,1,6.6.2023,2,3,NA,NA,NA,
quilchena,0,Agapostemon texanus,2,6.7.2023,2,1,0,NA,NA,
quilchena,0,Agapostemon texanus,3,6.11.2023,2,0,0,0,0,
prince of wales,1,Anthidium oblongatum,1,7.5.2023,2,1,NA,NA,NA,
prince of wales,1,Anthidium oblongatum,2,7.7.2023,2,0,0,NA,NA,
prince of wales,1,Anthidium oblongatum,3,7.12.2023,2,0,0,0,0,
prince of wales,1,Halictus rubicundus,1,7.5.2023,2,7,NA,NA,NA,
prince of wales,1,Halictus rubicundus,2,7.7.2023,2,10,0,NA,NA,
prince of wales,1,Halictus rubicundus,3,7.12.2023,2,0,0,0,0,
prince of wales,1,Melissodes microsticta,1,7.5.2023,2,9,NA,NA,NA,
prince of wales,1,Melissodes microsticta,2,7.7.2023,2,36,1,NA,NA,
prince of wales,1,Melissodes microsticta,3,7.12.2023,2,51,2,2,0,
prince of wales,1,Megachile montivaga,1,7.5.2023,2,0,NA,NA,NA,
prince of wales,1,Megachile montivaga,2,7.7.2023,2,0,0,NA,NA,
prince of wales,1,Megachile montivaga,3,7.12.2023,2,0,0,0,0,
prince of wales,1,Andrena prunorum,1,7.5.2023,2,2,NA,NA,NA,
prince of wales,1,Andrena prunorum,2,7.7.2023,2,2,0,NA,NA,
prince of wales,1,Andrena prunorum,3,7.12.2023,2,0,0,0,0,
killarney,1,Anthidium oblongatum,1,7.4.2023,2,6,NA,NA,NA,
killarney,1,Anthidium oblongatum,2,7.6.2023,2,2,0,NA,NA,
killarney,1,Anthidium oblongatum,3,7.11.2023,2,0,0,0,0,
killarney,1,Halictus rubicundus,1,7.4.2023,2,0,NA,NA,NA,
